Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,AvgQuantityPerTransaction,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,AgeCategory,PreferredTimeOfDay,BasketSizeCategory,Country,Churn,RegYear,RegMonth,RegDay,RegWeekday,IsPrivateIP,AvgBasketValue,FavoriteSeason_Automne,FavoriteSeason_Hiver,FavoriteSeason_Printemps,FavoriteSeason_Été,Region_Afrique,Region_Amérique du Nord,Region_Amérique du Sud,Region_Asie,Region_Autre,Region_Europe centrale,Region_Europe continentale,Region_Europe de l'Est,Region_Europe du Nord,Region_Europe du Sud,Region_Moyen-Orient,Region_Océanie,Region_UK,WeekendPreference_Inconnu,WeekendPreference_Semaine,WeekendPreference_Weekend,ProductDiversity_Explorateur,ProductDiversity_Modéré,ProductDiversity_Spécialisé,Gender_F,Gender_M,Gender_Unknown
1,79.6,79.6,0.0,8.0,374,2,10,12,0.0,,1,1.0,1,0,6.0,0.0,1.0,United Kingdom,1,2010,12,6,0,0,79.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True
81,27487.41,54.86508982035928,50.54074055098437,32.17365269461078,374,2,12,12,0.1816367265469061,0.688,236,2.9135802469135803,1,23,6.0,1.0,2.0,United Kingdom,0,2010,12,22,2,0,339.3507407407407,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
52,16945.71,42.47045112781954,55.98517467790531,18.19047619047619,374,0,14,12,0.0927318295739348,0.8793969849246231,55,1.0576923076923077,1,31,5.0,2.0,2.0,United Kingdom,0,2010,2,6,5,0,325.87903846153847,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
13,2894.33,76.16657894736842,82.68118539129574,30.026315789473685,374,0,10,10,0.0,9.91891891891892,27,2.076923076923077,1,7,0.0,0.0,2.0,United Kingdom,0,2010,1,1,4,0,222.64076923076922,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
10,3465.6700000000005,17.415427135678396,13.9076639976737,8.231155778894472,374,1,12,9,0.0,1.7828282828282829,137,13.7,1,4,6.0,1.0,1.0,United Kingdom,0,2010,10,5,1,0,346.56700000000006,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
4,832.88,5.665850340136054,6.137081078919305,3.979591836734694,374,3,11,12,0.0,2.493150684931507,142,35.5,1,0,4.0,0.0,0.0,United Kingdom,0,2010,9,16,3,1,208.22,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
22,14520.080000000002,46.24229299363058,49.33480116740088,17.659235668789808,374,3,12,3,0.1687898089171974,1.0702875399361025,183,8.318181818181818,1,6,3.0,1.0,2.0,United Kingdom,0,2010,7,24,5,0,660.0036363636365,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
1,192.6,96.3,114.97556262093264,48.5,374,2,11,12,0.0,0.0,2,2.0,1,0,4.0,0.0,2.0,Netherlands,1,2010,10,18,0,0,192.6,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
8,3054.87,33.943,28.548470411021825,23.07777777777778,374,2,11,12,0.0666666666666666,3.831460674157303,56,7.0,1,6,6.0,0.0,2.0,United Kingdom,0,2010,12,7,1,0,381.85875,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
4,1659.75,276.625,93.4774397916417,89.16666666666667,374,3,8,1,0.0,52.6,4,1.0,1,0,5.0,0.0,2.0,United Kingdom,1,2010,1,17,6,0,414.9375,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True
6,2995.72,16.642888888888887,7.1135332104509565,11.433333333333334,374,2,9,12,0.0,1.5754189944134078,150,25.0,1,0,2.0,0.0,1.0,United Kingdom,0,2010,11,15,0,0,499.28666666666663,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
1,243.28,4.194482758620689,3.4974608194957733,2.9827586206896552,374,2,11,12,0.0,0.0,51,51.0,1,0,3.0,0.0,0.0,United Kingdom,1,2010,10,9,5,0,243.28,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
17,4204.1,6.040373563218392,8.370918354927017,3.614942528735632,374,4,14,12,0.2183908045977011,0.516546762589928,407,23.94117647058824,1,0,6.0,2.0,0.0,United Kingdom,0,2010,11,22,0,0,247.3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
2,683.13,5.55390243902439,5.618184123261079,2.9186991869918697,374,6,12,11,0.5203252032520326,2.78688524590164,115,57.5,1,0,5.0,1.0,0.0,United Kingdom,0,2010,10,21,3,0,341.565,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False
3,390.66,27.90428571428572,23.04183209672413,12.428571428571429,374,2,13,11,0.0,28.384615384615383,13,4.333333333333333,1,1,2.0,1.0,1.0,United Kingdom,0,2010,9,17,4,0,130.22,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
1,233.45,16.675,1.976472187432018,7.928571428571429,374,2,12,12,0.0,0.0,14,14.0,1,0,5.0,1.0,1.0,United Kingdom,1,2010,1,6,2,0,233.45,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
2,689.9499999999999,23.791379310344823,17.99679569180063,9.137931034482758,374,3,15,1,0.0,1.5357142857142858,25,12.5,1,0,4.0,2.0,1.0,United Kingdom,1,2010,3,6,5,0,344.97499999999997,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
7,3190.55,27.26965811965812,22.17251330891097,15.760683760683762,374,6,15,5,0.4786324786324786,3.0948275862068964,104,14.857142857142858,1,0,6.0,2.0,2.0,United Kingdom,0,2010,8,24,1,0,455.79285714285714,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
60,62653.1,107.09931623931624,105.17001276900676,105.64615384615384,374,3,12,8,0.0119658119658119,0.5941780821917808,369,6.15,1,17,6.0,1.0,2.0,United Kingdom,0,2010,10,8,4,0,1044.2183333333332,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
4,1475.02,13.053274336283186,15.413203838782298,7.893805309734513,374,3,12,12,0.0,3.125,82,20.5,1,0,2.0,1.0,1.0,United Kingdom,0,2010,1,22,4,0,368.755,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
28,7904.280000000001,20.16397959183673,14.508505979568442,14.428571428571429,374,3,11,6,0.0,0.887468030690537,159,5.678571428571429,1,4,5.0,0.0,1.0,United Kingdom,0,2010,8,3,1,0,282.2957142857143,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
1,277.35,3.2629411764705885,2.852236308720635,1.8823529411764703,374,2,12,12,0.0,0.0,74,74.0,1,0,5.0,1.0,0.0,United Kingdom,1,2010,10,31,6,0,277.35,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
18,21086.300000000003,171.43333333333337,452.75777216069145,61.45528455284553,374,2,12,12,0.0,2.9836065573770494,74,4.111111111111111,1,0,6.0,1.0,2.0,United Kingdom,0,2010,12,15,2,0,1171.4611111111112,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
4,541.1,4.705217391304348,8.761843448168955,1.9391304347826088,374,0,11,12,0.0,1.7543859649122806,100,25.0,1,1,3.0,0.0,0.0,United Kingdom,1,2010,9,11,5,0,135.275,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
21,3925.92,9.369737470167063,16.0671952539341,4.952267303102626,374,0,10,11,0.1408114558472553,0.8157894736842105,191,9.095238095238097,1,1,5.0,0.0,0.0,United Kingdom,0,2010,11,22,0,1,186.94857142857143,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
2,379.73,22.33705882352941,18.437844154315428,12.882352941176473,374,0,10,4,0.0,8.125,17,8.5,1,0,1.0,0.0,1.0,United Kingdom,1,2010,8,31,1,0,189.865,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False
2,239.92,10.431304347826083,21.67213739183182,10.478260869565217,374,3,14,10,0.0,14.363636363636363,23,11.5,1,0,1.0,2.0,1.0,United Kingdom,0,2010,8,18,2,0,119.96,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
4,990.8400000000004,47.18285714285715,50.33315379974289,29.047619047619047,374,0,12,10,0.0,16.65,18,4.5,1,1,6.0,1.0,2.0,United Kingdom,0,2010,4,11,6,0,247.7100000000001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
1,313.49000000000007,4.415352112676057,3.77889206400346,2.7746478873239435,374,2,12,12,0.0,0.0,69,69.0,1,0,5.0,1.0,0.0,United Kingdom,1,2010,3,19,4,0,313.49000000000007,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
224,29072.1,6.262839293408013,38.3936798721033,5.2154243860405,374,2,11,11,0.1544592847910383,0.0642102995044171,1769,7.897321428571429,1,46,6.0,0.0,1.0,United Kingdom,0,2010,7,17,5,0,129.7861607142857,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
2,423.04,3.305,2.477535923446622,1.8046875,374,0,12,10,0.0,2.5118110236220472,110,55.0,1,0,5.0,1.0,0.0,United Kingdom,0,2010,8,27,4,0,211.52,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
6,1607.0600000000002,15.0192523364486,5.904255373135322,8.672897196261681,374,2,15,1,0.0,1.7452830188679245,72,12.0,1,0,6.0,2.0,1.0,United Kingdom,1,2010,10,17,6,0,267.84333333333336,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
4,226.75,18.89583333333333,3.697939127119155,7.916666666666667,373,2,12,4,0.0,27.27272727272728,7,1.75,1,0,4.0,1.0,1.0,United Kingdom,0,2010,9,9,3,0,56.6875,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
6,1049.37,16.144153846153845,32.05769383530982,4.769230769230769,373,2,12,6,0.0,4.203125,46,7.666666666666667,1,0,5.0,1.0,0.0,United Kingdom,1,2010,3,12,4,0,174.89499999999998,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
4,2030.33,50.75825,53.16003761683278,23.975,373,1,9,4,0.0,8.35897435897436,35,8.75,1,1,5.0,0.0,2.0,United Kingdom,0,2010,11,27,5,0,507.5825,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
12,3817.08,16.45293103448276,7.674131620825337,8.793103448275861,373,1,13,6,0.1336206896551724,1.593073593073593,129,10.75,1,2,6.0,1.0,1.0,Germany,0,2010,6,21,0,0,318.09,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
4,811.02,4.5056666666666665,4.749451259100343,2.3,373,2,14,12,0.0,2.0670391061452515,133,33.25,1,2,6.0,2.0,0.0,United Kingdom,0,2010,5,15,5,0,202.755,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
1,161.00000000000003,17.888888888888893,6.67845312262586,4.222222222222222,373,2,13,12,0.0,0.0,9,9.0,1,0,3.0,1.0,0.0,United Kingdom,1,2010,7,23,4,0,161.00000000000003,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
4,800.24,23.536470588235293,42.11564107940673,11.970588235294118,373,2,13,12,0.0,9.12121212121212,33,8.25,1,0,5.0,1.0,1.0,United Kingdom,0,2010,4,29,3,0,200.06,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
3,2575.0,29.94186046511628,30.769113371600728,15.186046511627907,373,2,14,11,0.0,4.023529411764706,59,19.666666666666668,1,0,6.0,2.0,2.0,United Kingdom,0,2010,12,12,6,0,858.3333333333334,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
7,13375.87,31.847309523809525,27.0369316523465,26.35952380952381,373,2,13,12,0.0,0.883054892601432,219,31.285714285714285,1,0,2.0,1.0,2.0,Norway,0,2010,7,20,1,0,1910.8385714285716,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
5,493.67,18.98730769230769,13.03412031790172,9.461538461538462,373,2,10,6,0.0,7.48,18,3.6,1,1,1.0,0.0,1.0,United Kingdom,1,2010,9,25,5,0,98.73400000000001,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
1,115.65,23.130000000000003,4.628660713424566,10.2,373,2,13,12,0.0,0.0,5,5.0,1,0,6.0,1.0,1.0,United Kingdom,1,2010,6,10,3,0,115.65,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
5,1198.23,17.88402985074627,5.997743024924862,6.582089552238806,373,4,13,4,0.1641791044776119,5.075757575757576,61,12.2,1,0,2.0,1.0,1.0,United Kingdom,0,2010,7,13,1,0,239.64600000000002,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
12,2888.7500000000005,67.18023255813955,69.31763942647582,31.232558139534884,373,1,13,4,0.0,8.547619047619047,27,2.25,1,0,0.0,1.0,2.0,United Kingdom,0,2010,4,22,3,0,240.7291666666667,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
2,363.6000000000001,30.300000000000008,19.81780650186732,11.333333333333334,373,2,13,12,0.0,0.0,11,5.5,1,1,2.0,1.0,1.0,United Kingdom,1,2010,10,26,1,0,181.80000000000004,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
2,379.8299999999999,7.166603773584904,4.222276520203575,3.490566037735849,373,2,13,12,0.0,7.019230769230769,48,24.0,1,0,6.0,1.0,0.0,United Kingdom,0,2010,9,17,4,0,189.91499999999996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
1,487.75,18.064814814814813,4.12512971392357,5.925925925925926,373,2,14,12,0.0,0.0,27,27.0,1,0,6.0,2.0,1.0,United Kingdom,1,2010,9,3,4,0,487.75,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
248,132572.62,22.45851600880908,56.724447630901416,13.074707775707267,373,3,14,11,0.0701338302558021,0.047610979329041,1794,7.233870967741935,1,226,5.0,2.0,1.0,EIRE,0,2010,4,18,6,0,534.5670161290323,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
5,2158.3700000000003,19.44477477477478,22.178149805888875,10.342342342342342,373,6,11,2,0.5405405405405406,2.4727272727272727,80,16.0,1,0,5.0,0.0,1.0,United Kingdom,1,2010,8,31,1,0,431.6740000000001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True
169,40340.78,5.053335838657146,9.97603541966394,2.864211449329826,373,2,12,11,0.1440561192534135,0.0384615384615384,1331,7.875739644970414,1,136,6.0,1.0,0.0,United Kingdom,0,2010,11,16,1,0,238.70284023668637,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
13,6229.48,15.932173913043478,17.09982888294754,10.281329923273658,373,2,14,12,0.289002557544757,0.8589743589743589,226,17.384615384615383,1,52,2.0,2.0,1.0,Germany,0,2010,3,11,3,0,479.1907692307692,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
16,2611.58,5.192007952286282,6.33036259479739,3.2584493041749503,373,3,12,10,0.1630218687872763,0.7250996015936255,299,18.6875,1,3,5.0,1.0,0.0,United Kingdom,0,2010,11,14,6,1,163.22375,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
1,101.55,12.69375,2.691579130229264,8.875,373,2,14,12,0.0,0.0,8,8.0,1,0,0.0,2.0,1.0,United Kingdom,1,2010,12,27,0,0,101.55,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
6,1764.3600000000004,38.35565217391305,34.974554347231354,21.717391304347824,373,2,14,3,0.0,6.488888888888889,24,4.0,1,2,6.0,2.0,2.0,United Kingdom,0,2010,11,30,1,0,294.06000000000006,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
13,7741.47,45.53805882352941,49.04616622788497,23.194117647058825,373,3,15,1,0.0,0.5976331360946746,99,7.615384615384615,1,11,6.0,2.0,2.0,United Kingdom,1,2010,8,21,5,0,595.4976923076923,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
50,16389.74,22.118407557354928,16.654215419661274,12.758434547908232,373,2,13,11,0.0553306342780027,0.4743243243243243,233,4.66,1,21,4.0,1.0,1.0,United Kingdom,0,2010,11,27,5,1,327.7948,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
41,5656.75,18.48611111111111,13.850907820424943,8.434640522875817,373,3,10,12,0.0620915032679738,1.147540983606557,184,4.487804878048781,1,4,5.0,0.0,1.0,United Kingdom,0,2010,11,19,4,0,137.96951219512195,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
2,287.59000000000003,11.5036,9.749326421177344,9.56,373,4,10,11,0.0,14.625,25,12.5,1,0,0.0,0.0,1.0,United Kingdom,0,2010,7,9,4,0,143.79500000000002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
19,2781.5,13.05868544600939,14.25893189652838,9.830985915492958,373,1,13,6,0.0751173708920187,1.3349056603773586,72,3.789473684210526,1,4,4.0,1.0,1.0,United Kingdom,0,2009,12,31,3,0,146.39473684210526,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
3,243.69000000000003,27.07666666666667,23.92909108177743,15.88888888888889,373,2,15,12,0.0,35.875,9,3.0,1,1,6.0,2.0,2.0,United Kingdom,0,2010,5,10,0,0,81.23,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
1,357.94999999999993,5.342537313432834,5.06367256328172,2.313432835820896,373,2,15,12,0.0,0.0,64,64.0,1,0,6.0,2.0,0.0,United Kingdom,1,2010,8,18,2,1,357.94999999999993,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
2,538.8100000000001,28.35842105263158,30.674277726379927,8.368421052631579,373,1,9,2,0.0,3.388888888888889,16,8.0,1,0,4.0,0.0,1.0,United Kingdom,1,2010,9,17,4,0,269.40500000000003,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
9,2070.9700000000003,15.5712030075188,8.063297791169678,12.225563909774436,373,0,13,12,0.1203007518796992,2.765151515151515,117,13.0,1,3,3.0,1.0,1.0,United Kingdom,0,2010,12,9,3,0,230.1077777777778,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
4,1388.81,30.86244444444444,22.47097250348825,10.6,373,2,15,12,0.0,8.386363636363637,36,9.0,1,0,1.0,2.0,1.0,United Kingdom,0,2010,2,6,5,0,347.2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
